"GOOGL","Google Inc.",526.94,1398305571445
"GOOG","Google Inc.",526.94,1398305699251
"YHOO","Yahoo! Inc.",35.44,1398305699323
"GOOG","Google Inc.",526.94,1398305758960
"YHOO","Yahoo! Inc.",35.44,1398305759033
"INTL","INTL FCStone Inc.",18.93,1398305759565
"GOOG","Google Inc.",525.16,1398395997777
"YHOO","Yahoo! Inc.",35.24,1398395997840
"INTL","INTL FCStone Inc.",19.02,1398395997918
"GOOG","Google Inc.",503.25,1398706724871
"YHOO","Yahoo! Inc.",33.79,1398706724905
"INTL","INTL FCStone Inc.",18.84,1398706724937
"GOOG","Google Inc.",503.205,1398706776105
"YHOO","Yahoo! Inc.",33.78,1398706776139
"INTL","INTL FCStone Inc.",18.84,1398706776175
"GOOG","Google Inc.",503.40,1398706795038
"YHOO","Yahoo! Inc.",33.785,1398706795102
"INTL","INTL FCStone Inc.",18.84,1398706795171
"GOOG","Google Inc.",504.25,1398707112009
"YHOO","Yahoo! Inc.",33.82,1398707112048
"INTL","INTL FCStone Inc.",18.84,1398707112086
"GOOG","Google Inc.",503.0102,1398707352138
"YHOO","Yahoo! Inc.",33.75,1398707352206
"INTL","INTL FCStone Inc.",18.84,1398707352273
